Dato:,Serienummer:,Test,Step,Type of error,Type of error,Fejlbeskrivelse og komentarer,L?sning
21-05-24,91933932,GPT,Verify GPT,WaterDiff,WaterTemp,Skiftet Preheater og gentaget test,
22-05-24,91934628,GPT,Verify GPT,Protein,Cream_Rep,Fejlede 3 gang .Skiftet cuvette.,L?sning
22-05-24,91934724,5 Mëlk,Verify 5mëlk,,,Fejl pÜ 5 mëlk B2024-19 . Det er ikke godkent.,
23-05-24,91934628,5 Mëlk,Verify 5mëlk,Trans,Fat,Skiftet detector og linse.testet 5 mëlk igen.,L?sning
23-05-24,91934604,5 Mëlk,Verify 5mëlk,Trans,Fat,"FAT TRANS, Cuvette renset",
24-05-24,91934604,5 Mëlk,Verify 5mëlk,Trans,fat,Slanger byttet rundt pÜ cuvette,Slanger byttet
24-05-24,91934604,5 Mëlk,,,Protein+Lactose+SNF,"BPV larmer, BPV skiftet",
28-05-24,91934604,STD,,,Oil Rep+Glycslope,Slanger byttet rundt pÜ cuvette,Slanger byttet
28-05-24,91934944,5 Mëlk,Verify 5mëlk,Trans,Protein+Lactose+SNF,Skiftet detector og linse.,L?sning
29-05-24,91934944,STD,Verify STD,GlycSlope+GlycCorr,,Testet igen.,L?sning
29-05-24,91935064,Basic,,ID chip,,"Valve 1 fejl,stikben skiftet.",L?sning
31-05-24,91935048,5 Mëlk,Verify 5mëlk,human error,,"Fejlede i Protein trans,fattrans+snftrans. Cuvette renset for st?v, spejl i IFU vendte forkert+ LÜsering var ikke spëndt",
04-06-24,91935192,GPT,Verify GPT,human error,Cream_Rep,"Forkert ventil monteret pÜ M1 pumpe, pumpe udskiftet",L?sning
04-06-24,91935164,GPT,Verify GPT,human error,Fat rep-cream+Tsrep-cream,"Forkert ventil monteret pÜ M1 pumpe, pumpe udskiftet",L?sning
04-06-24,91935192,GPT,Verify GPT,WaterDiff,,Skift af zero og clean,L?sning
04-06-24,91935347,Basic,Flow System Check,ID chip,,Valve 9 fejl. Skiftet stikben 2 stk.,Testet igen
06-06-24,91935192,5 Mëlk,Verify 5mëlk,Trans,Fat+Protein+Lactose+TS+SNF,fejler pÜ allt,Testet igen pÜ et andet mëlkesët
06-06-24,91934883,5 Mëlk,Verify 5mëlk,Trans,Protein+SNF,,
06-06-24,91935164,5 Mëlk,Verify 5mëlk,Trans,Protein+SNF,5Mëlk B2024-23 fejl testet igen B2024-24     OK,L?sning
06-06-24,91935280,GPT,Verify GPT,Fat+Protein+Lactose+TS+SNF,,"Fejler pÜ allt. Ny detctor,filterstick,cuvette og linse.",L?sning
06-06-24,91935280,5 Mëlk,Verify 5mëlk,Trans,SNF,B2024-23  L?sning 2024-24,L?sning
07-06-24,91935615,GPT,Verify GPT,WaterDiff,,Skiftet Zero og Clean.,Testet igen
07-06-24,91935615,GPT,Verify GPT,WaterDiff,,Fejler igen.,Testet igen
07-06-24,91935615,GPT,Verify GPT,Lactose,Milk_Rep,Testet igen.OK.,Skiftet filterstick
11-06-24,91935662,GPT,Measure GPT,,Error component,"Melder fejl under GPT, Driver modul not ready, Skiftet IFU",L?sning
11-06-24,91935525,5 Mëlk,Verify 5mëlk,Trans,Fat,Testet igen 5mëlk B2024-24,L?sning
12-06-24,91935347,U. Conductivity,Initial ID chip,,Fat+Lactose+SNF,Valve 10 fejl.Skiftet stikben .,L?sning
13-06-24,91935771,GPT,Verify GPT,Lactose,Cream_Rep,Fejler igen.,
13-06-24,91935771,GPT,Verify GPT,Protein,Cream_Rep,Reng?r cuvette. ,Testet igen
14-06-24,91935771,STD,Measure STD,,, Skiftet BPV .Problem med membrane.,L?sning
17-06-24,91935662,GPT,Verify GPT,WaterDiff,,Testet igen,L?sning
18-06-24,91935833,GPT,Power up Instrument,Power up instrument,,Skiftet detector.testet igen performans test.,L?sning
19-06-24,,M. Conductivity,Verify Cond. connection,SampleCond,,"Conduktivity fejl Meas 909,023 vs Limit high Meas903,37.",Skiftet Conductivity modul
20-06-24,91936093,GPT,Power up Instrument,connection problem,,Restartet comp.,Testet igen
24-06-24,91936346,Basic,Flow System Check,,Error component,"Defekt slange, udskiftet",L?sning
25-06-24,91936284,GPT,Power up Instrument,,human error,Ledning rettet pÜ pipetten.Sampl pipette fejl.,L?sning
25-06-24,91936284,5 Mëlk,Verify 5mëlk,Trans,Fat+Lactose+SNF,"5Mëlk fejler B2024-25,B2024-24.",5 mëlken ikke godkendt endnu
25-06-24,91936450,Basic,Initial ID chip,ID chip,,"Fejl pÜ ventil nr2,skiftet stikben",L?sning
26-06-24,91936450,GPT,Verify GPT,Protein,Milk_Rep,Fejler igen.,Testet igen
26-06-24,91936450,GPT,Verify GPT,Protein,Milk_Rep,Skiftet linse og cuvette.,Testet igen
26-06-24,91936450,GPT,Verify GPT,WaterDiff,,Fejler igen,Testet igen
26-06-24,91936450,GPT,Verify GPT,Lactose,Cream_Rep,Testet igen.,L?sning
27-06-24,91936514,5 Mëlk,Verify 5mëlk,Trans,Fat,Skiftet detecor,L?sning
01-07-24,91936554,Basic,Visuel inspektion,,,Skiftet PCB .Fejl pÜ JP24,L?sning
01-07-24,91936554,GPT,Verify GPT,Lactose,Milk_Rep,Testet igen.Fejl.,Testet igen
01-07-24,91936554,GPT,Verify GPT,Protein,Cream_Rep,Renset cuvette.,L?sning
02-07-24,91936561,GPT,Verify GPT,Protein,Cream_Rep, Fejler igen.,Testet igen
02-07-24,91936561,GPT,Verify GPT,WaterDiff,Cream+Milk_Rep,Skiftet filterstick og renset cuvette.,L?sning
03-07-24,91936913,Basic,Initial ID chip,,,jp7-manifold fan idchip defekt,Ledning i stik rettet
04-07-24,91936913,Basic,Pipette Test,,,"pipette kommer ikke ud, rettet",L?sning
04-07-24,91936913,Basic,Flow System Check,,,"Pipette heater cable, ny samplepipette monteret, ogsÜ den skulle justeres",L?sning
04-07-24,91936934,Basic,Visuel inspektion,Temp,,"Detector varmer ikke, skiftet dector",L?sning
12-07-24,91937381,M. Conductivity,,,,"Kold conductivity, skift af cabel",L?sning
16-07-24,91937308,Basic,Pipette Test,,,Pippette kommer ikke ud.,Justeret
25-07-24,91937998,Prepare,Firmware,,,"manglede forbindelse, ny PCB  NAT (1052407)",L?sning
29-07-24,91937488,5 Mëlk,Verify 5mëlk,Trans,Protein+SNF,Testet GPT og STD igen.,L?sning
02-08-24,91938211,Basic,Flow System Check,,Error component,"Defekt tube60074456,udskiftet",L?sning
02-08-24,91935934,5 Mëlk,Verify 5mëlk,Trans,Fat,Testet 5mëlkB2024-31,L?sning
05-08-24,91938267,M. Conductivity,Calculate Cond.,SampleCond,,Fejler SampleCond.Skiftet clean og zero og testet igen.,L?sning
13-08-24,91938706,GPT,Verify GPT,,WaterDiff,Renset cuvette og skiftet zero.Testet igen.,L?sning
15-08-24,91936885,GPT,Verify GPT,,WaterTemp,,
16-08-24,91938706,M. Conductivity,Verify Cond. connection,SampleCond,,"Meas910,7106 vsLimitHigh 910,3447.Skiftet clean og zero .testet igen",L?sning
20-08-24,91938933,5 Mëlk,Verify 5mëlk,Trans,Protein,Renset cuvette.,L?sning
21-08-24,91939133,GPT,Verify GPT,WaterDiff,Milk_Rep,Renset cuvette af fingeraftryk.Testet igen.,Fejler
22-08-24,91939133,GPT,Verify GPT,WaterDiff,,Skiftet clean og zero.Testet igen.,L?sning
22-08-24,91939180,GPT,Verify GPT,Protein,Cream_Rep,Skiftet clean og zero.Testet igen.,L?sning
23-08-24,91929891,GPT,Verify GPT,WaterDiff,Milk_Rep,Skiftet zero og testet igen.,L?sning
27-08-24,91939462,GPT,Verify GPT,Protein,Cream_Rep,Skiftet cuvette .,Fejler
27-08-24,91939349,Basic,Module Check,ID chip,,Stikben sad l?st (gabte) i ventil 9,Ledning i stik rettet
27-08-24,91939462,GPT,Verify GPT,Lactose,Cream_Rep,Testet igen,Testet igen
28-08-24,91939462,5 Mëlk,Verify 5mëlk,Trans,Fat+Protein+TS,Skiftet detecor.,Testet igen
28-08-24,91939462,5 Mëlk,Verify 5mëlk,Trans,Protein,Skiftet linse.,Fejler
28-08-24,91939349,GPT,Verify GPT,Lactose,,"Cuvette renset, testet igen",L?sning
29-08-24,91939462,5 Mëlk,Verify 5mëlk,Trans,Fat+Protein,Testet igen,Fejler
29-08-24,91939496,Basic,Initial ID chip,,,Sampl pipette fejl.ID chip pÜ psb fejl,Skiftet pipette
29-08-24,91939462,5 Mëlk,Verify 5mëlk,Trans,Fat+Protein,Skiftet IFU,L?sning
04-09-24,91939911,Basic,Module Check,ID chip,,stikben sad l?st gabte i ventil 9,Ledning i stik rettet
04-09-24,91939911,Basic,Module Check,,,pipette rettet,L?sning
05-09-24,91939976,Basic,,,,Blëser ledning sad forkert jp7 og jp8 HUSK at genstarte instrumentet efter ombytning af ledningerne,Ledning i stik rettet
09-09-24,91940013,5 Mëlk,Verify 5mëlk,Trans,Fat+Protein+TS,Skiftet IR SOURS,L?sning
09-09-24,91939998,M. Conductivity,Chassis ID,connection problem,,Skiftet Cable Chas-ID Psb,L?sning
09-09-24,91939998,M. Conductivity,Verify Cond.,connection problem,,"Skiftet NAT Zyng Psb,Skiftet ethernet kabel",Testet igen
09-09-24,91940013,STD,Verify STD,GlycCorr,,Testet igen.,L?sning
10-09-24,91939968,STD,Verify STD,GlycCorr,,Skiftet clean. Testet igen.,L?sning
10-09-24,91940230,5 Mëlk,Calculate 5mëlk,Fat+Lactose+SNF,Trans,rensat cuvette,L?sning
17-09-24,91940430,GPT,Measure GPT,WaterDrift,WaterDiff,Skiftet clean og zero.Testet igen.,L?sning
17-09-24,91940430,GPT,Power up Instrument,connection problem,,Skiftet cable Chas-ID Psb,L?sning
19-09-24,91940701,Prepare,Power up Instrument,connection problem,,Bytt lilla print 1052407 pÜ CTR.,L?sning
19-09-24,91940606,GPT,Verify GPT,WaterTemp,,Defekt preheaterf?ler- skiftet,L?sning
19-09-24,91940606,Basic,Module Check,connection problem,,knëkket ledning pÜ pÜ blëser- stikben skiftet,Ledning knëkket
20-09-24,91940658,Basic,Visuel inspektion,,connection problem,stik sad ikke i - rettet,Ledning i stik rettet
24-09-24,91940640,GPT,Verify GPT,Lactose,,cream lactose,Testet igen
24-09-24,91940958,5 Mëlk,Verify 5mëlk,Trans,Protein,Bytt lins och detektor.,L?sning
25-09-24,91940794,5 Mëlk,Verify 5mëlk,Trans,Fat,"Fejler pÜ fatTrans, skiftet IFU IFUnr 91940467 muligivis defekt",Skiftet linse og detektor.
25-09-24,91941040,GPT,Calculate GPT,Protein,,Bytt cuvette.,L?sning
27-09-24,91940794,STD,Verify STD,Oil Rep,,Fejl pÜ olirep. filterstick sad l?st,
30-09-24,91940964,5 Mëlk,Verify 5mëlk,Trans,Fat,Skiftet linse og detector.,L?sning
30-09-24,91940964,STD,Verify STD,GlycCorr,,Skiftet clean og zero .Testet igen.,L?sning
30-09-24,91941012,5 Mëlk,Verify 5mëlk,Trans,Fat,Skiftet linse og detector. x2,L?sning
02-10-24,91941042,M. Conductivity,Verify Cond.,SampleCond,,Skiftet clean og zero.,L?sning
03-10-24,91941360,GPT,Verify GPT,Fat,Milk_Rep,,
07-10-24,91941434,GPT,Verify GPT,Protein,Protein,Cuvette renset,L?sning
08-10-24,91941517,,Verify 5mëlk,Fat,Trans,"Fejler pÜ fattrans, renset cuvette",L?sning
10-10-24,91941621,GPT,Module Check,,,"2 ventil ledninger var byttet om, fejlede pÜ zero settings",L?sning
10-10-24,91941621,GPT,Verify GPT,FPSignalWater,,"Fejler pÜ proteinrep, lactoserep, milkasm og fpsignalwater, ",
11-10-24,91941722,STD,Measure STD,connection problem,connection,Under ZERO setting af instr. melder IFU fejl. Udskiftning af detector .,L?sning
11-10-24,91930277,M. Conductivity,Measure Cond.,,,"Fejlede pÜ ""Clean liquid conductivity too low. Genstart af instrument. ADC'en kan ikke lide at man ikke slukker insturmentet f?r der kobles til, og lukker derfor ned.",Genstart af instrument
16-10-24,91941689,,Verify 5mëlk,Fat,,Skiftet cuvette,Fejler
16-10-24,91941689,,Verify 5mëlk,Trans,Fet,Skiftet detector,L?sning
16-10-24,91941962,Prepare,Firmware,,Drv Print kan ikke opdateras,"Software kommer ikke ornligt pÜ Driver PCB, led kommer kun op i nr 2",Ny DRV print
16-10-24,91941760,Prepare,Firmware,,instrumnet opdatering failar,"ingen kontakt med instrumentet, kan ikke opdatera instrumentet",Skifta Zynq print
18-10-24,91942154,,Verify 5mëlk,Protein,Trans,Testet igen 5Mëlk B2024-42,L?sning
18-10-24,91942154,,Chassis ID,human error,,Mangler lille sort kabel.,
22-10-24,91942375,,Verify 5 mëlk,Trans,"Fet,protein,TS",Skiftet detector.,L?sning
24-10-24,91942555,5 mëlk,Verify 5 mëlk,Fet Trans,Fet,Testet igen 5mëlk ,L?sning
29-10-24,91942822,5mëlk,Verify 5 mëlk,Fet Trans,,Skiftet cuvette ,Fejler
29-10-24,91942822,5 mëlk,Verify 5 mëlk,Fet Trans,,Skiftet detector,L?sning
29-10-24,91942777,5 mëlk,Verify 5 mëlk,Fet Trans,,Skiftet detector,L?sning
04-11-24,91943096,5 mëlk,Verify 5 mëlk,Fet Trans,Fet Trans,Skiftet cuvette ,L?sning
07-11-24,91943260,,,ID chip,ID chip,"Kabel jp 28 pÜ samplepipette defekt ID-chip, skiftet samplepipette",L?sning
07-11-24,91942940,,Verify 5mëlk,Fat,Trans,Renser cuvette og tester 5mëlkB2024-44 igen,L?sning
07-11-24,91943260,,,human error,,"Viste luft i systemet under flowtest Slange ikke monteret korrekt pÜ m1 pumpe,",Slanger ikke spëndt
07-11-24,91943260,5 mëlk,Verify 5mëlk,Fat,,"Fejler pÜ fattrans, ny cuvette",L?sning
08-11-24,91943202,,Power up Instrument,connection problem,,Skiftet pcb,L?sning
12-11-24,91943593,,Verify GPT,Protein,Gentest,"k?rt 2 gange fejler pÜ proteinrep milk, skiftet detector",L?sning
12-11-24,91943495,,Verify 5mëlk,Protein+Lactose+TS+SNF,,Testet igen 5mëlkB2024-45,L?sning
18-11-24,91943736,,Module Check,human error,,"Stik i klemme pÜ ifu fan, ny fan monteret",Ledning knëkket
18-11-24,91942129,,,,,"cond. for h?j vërdi pr?vet 2 gange, ny cond monteret",L?sning
20-11-24,91944021,,Flow System Check,human error,,Kabler V1ogV2 pÜ M1 pumppe forkert tilsluttet.Rettet kabler og testet igen .,L?sning
21-11-24,91943910,,Calculate GPT,WaterTemp,Gentest,"Testet igen, da overgangen mellem mëlk og fl?de ikke fungeret ordentligt",L?sning
22-11-24,91944227,,Verify Cond.,SampleCond,Gentest,Skiftet conduktivity modul.,L?sning
26-11-24,91944059,,Verify 5mëlk,Protein+TS,Fat+Protein+SNF,Skiftet detector,L?sning
27-11-24,91944614,,Calculate Cond.,SampleCond,,Skiftet clean og zero.Testet igen.,L?sning
27-11-24,91944584,,Verify GPT,Protein+SNF,Cream+Milk_Rep,"ProteinRep_milk, SNFRep_milk, ProteinREp_cream, Milk ASM  FAIL., ny detector och cuvette",Skiftet detektor
29-11-24,91944395,,Verify GPT,Protein+Lactose+TS+SNF,,Testet igen,L?sning
01-12-24,91944397,,Verify STD,WaterRep,,Testet igen,L?sning
01-12-24,91944818,,Verify GPT,"WaterRep, WaterDrift, WaterDifference, FatRep Water, ProteinRep Water, LactoseRep Water, TSRep Water, SNFRep Water, FatRep milk",WaterDrift,Testet igen,L?sning
02-12-24,91944273,,Verify 5mëlk,Protein,Trans,skiftet detector,Skiftet detektor
03-12-24,91944789,,Verify GPT,WaterRep,WaterDrift,Skiftet zero og testet igen,L?sning
03-12-24,91944876,,Fans Test,human error,,Skiftet blëser.,L?sning
05-12-24,91944855,Prepare,Verify Cond. connection,Error component,,sensor defekt pÜ Cond. venter pÜ rep da vi ikke har flere pÜ lager,
05-12-24,91944992,,Pipette Test,,,"Defekt kabel pÜ pipette, kabel udskiftet",Skiftet kabel
05-12-24,91945063,,Verify GPT,WaterDrift,,Testet igen GPT.,L?sning
05-12-24,91944992,,Verify GPT,"WaterRep, WaterDrift, WaterDifference, FatRep Water, ProteinRep Water, LactoseRep Water, TSRep Water, SNFRep Water, FatRep milk",,,
08-12-24,91945171,,Initial ID chip,,,Skiftet sampl pipette.,L?sning
08-12-24,91945171,,Flow System Check,human error,,Skiftet senzor kabek (knëkket).M1PUMP,L?sning
09-12-24,91944949,,Module Check,Error component,Error component,"Defekt port pÜ CTRprint, skift af print",
10-12-24,91945171,,Verify GPT,WaterDrift,WaterRep,Skiftet detector.,Skiftet detektor
10-12-24,91945308,,Verify GPT,Milk_Rep,Fat,Skiftet detector.,Skiftet detektor
10-12-24,91945308,,Verify 5mëlk,Fat,Trans,5mëlkB2024-49 var dÜrlig og testet igen 5mëlkB2024-50,L?sning
11-12-24,91945380,,Module Check,Error component,,"Pipette kunne ikke komme ud, s?geblad kunne ikke bruges da dims sad fast pÜ motorpal. ny sample pipette monteret",L?sning
11-12-24,91945380,,Measure GPT,Error component,,Pressuresensor activatet. skifter h-stage,L?sning
11-12-24,91945479,,Flow System Check,Error component,,Connection problemer. skiftet lille sorte kabel,L?sning
11-12-24,91945380,,Calculate GPT,WaterDiff,,fejler pÜ protein rep og waterdiff.  gentest,L?sning
11-12-24,91944984,,Calculate 5mëlk,Fat,Trans,"FatTrans i 5mëlk, bytt flera detector og lins",Skiftet linse og detektor.
13-12-24,91945564,,Verify GPT,Protein,Milk_Rep,Testet igen GPT,L?sning
16-12-24,91945772,,Measure Cond.,,,Defekt cond. skiftet til ny,L?sning
16-12-24,91945564,,Verify 5mëlk,Protein,Trans,Skiftet detector og linse.,L?sning
17-12-24,91945677,,Measure GPT,,,"Kold detector, genstart.",L?sning
17-12-24,91945677,,Verify GPT,WaterDiff,,Skift af clean og zero. gentest,L?sning
17-12-24,91945677,,Measure Cond.,,,Defekt cond. Varmede ikke. skiftet til ny,L?sning
17-12-24,91945885,,Verify 5mëlk,Protein+TS,Trans,Skiftet linse og detector.,Fejler
17-12-24,91945885,,Verify GPT,Lactose,Cream_Rep,Skiftet H-stage,L?sning
18-12-24,91945885,,Verify 5mëlk,Protein,Trans,Skiftet cuvette.,
18-12-24,91945762,,Verify GPT,WaterDiff,,"Fejl pÜ GPT GlycPeak2 ,Skiftet detector og cuvette",
19-12-24,91945885,,Verify 5mëlk,Protein,Trans,Protein trans fail skiftat Ifu,Skiftet IFU
19-12-24,91945967,,Flow System Check,,,Modstand for h?j i motor og piston pÜ M2. Flowtest k?rt igen,L?sning
02-01-25,91946074,,Module Check,,,"Preheater for varm, udskiftet til ny",Skiftet preheater
02-01-25,91946074,,Verify 5mëlk,,Trans,"FEjler SNFtrans, skiftet detector hjalp ikke, renset cuvette hjalp ikke, skift af linse",Fejler
03-01-25,91946073,,Verify GPT,Cream+Milk_Rep,,fejler pÜ protein cream og protein mëlk. pr?ver at k?re igen,Testet igen
08-01-25,91946074,,Verify 5mëlk,,,"FetTrans 0,02435 (0-0,024),  SNFTrans 0,05224(0-0,043) Skiftat Lins+ Detektor (Gamal Melk ? (uge 51)",
10-01-25,91946074,,Verify 5mëlk,Trans,Fat+SNF Trans,"FetTrans 0,022527 (0-0,024),  SNFTrans 0,05137(0-0,043) VÑntar pÜ Ny Melk godkÑnande",
13-01-25,91946645,,Verify 5mëlk,Trans,Fat+SNF Trans,"SNF Trans 0,048 (0-0,043), l?sning ny 5 mëlkeset",L?sning
14-01-25,ACR  1854,,Step,Temp,Temp,"Preheater kan ikke varme op, orange lys pÜ driver pcb ved preheater og sample pipetter. Fejlen var en defekt zero pipette",
17-01-25,91946091,,Verify GPT,Lactose,Milk_Rep,Skiftet zero og testet igen.,L?sning
20-01-25,91946091,,Verify 5mëlk,Lactose,Trans,"Renset cuvette ,skiftet zero og testet igen 5mëlk B2025-03.",L?sning
20-01-25,91946587,,Initial ID chip,human error,,"Fejl pÜ motor nr3 ,motor stik pÜ BPV manglede 2 stk kabler orange og sort .",Skiftet BPV
21-01-25,91946587,,Verify GPT,Protein,Milk_Rep,"Renset cuvette ,skiftet clean og zero.Testet igen GPT test.",L?sning
27-01-25,91947494,,Measure Cond.,,human error,Conuctivity kabel beskadiget.Skiftet kabel.,L?sning
30-01-25,91947609,,Verify GPT,WaterDrift,,Skiftet clean og zero .Testet igen.,L?sning
30-01-25,91947677,,Measure Cond.,,human error,"DÜrlig conuctivity modul ,dÜrlig  samling og lodning.Skiftet conductivity modul.",L?sning
04-02-25,91947693,,Verify 5mëlk,Fat+Protein+SNF,Protein+Lactose+TS+SNF,Skiftet detector og linse.Renset cuvette .Testet igen5mëlk.,L?sning
04-02-25,91947634,,Verify STD,GlycCorr,,Skiftet Pcb pÜ LEDA fejl pÜ stk.ben sÜ detec.kabel kan ikke varmer detec.og IFU.,L?sning
06-02-25,91947661,,Measure GPT,human error,Milk_Rep,Forkert detector monteret pÜ IFU .Skiftet og testet igen.,L?sning
11-02-25,91947782,,Verify 5mëlk,Fat+SNF Trans,,"FatTrans 0,03433 (0-0,024), ny cuvette 0,02934",
11-02-25,91947782,,Verify 5mëlk,Fat+SNF Trans,,"  ny detector 0,0326",
12-02-25,91947782,,Verify 5mëlk,Fat+SNF Trans,,"ny cuvette igen, ny lins",L?sning
14-02-25,91948108,,Verify 5mëlk,Fat+Protein+SNF,Trans,"Renset cuvette,testet 5mëlk igen.",L?sning
17-02-25,91948128,,Verify 5mëlk,Fat,Trans,Testet 5 mëlk B2025-06 igen.,L?sning
18-02-25,91948021,,Verify GPT,Fat+Protein+SNF,Fat+Protein+SNF,"Water temp  fail , Ny  cuvett samma fail. Sist ny detector och linse.",L?sning
20-02-25,91948274,,Verify 5mëlk,FAT,Trans,"Skiftet detector ,linse og cuvette.",Fejler
20-02-25,91948274,,Verify 5mëlk,Fat,Trans,"Testet igen 5mëlk B2025-06 ,skiftet zero",L?sning
24-02-25,91948801,,Verify Cond.,T1 Conductivity,T3 Conductivity,Fejl pÜ coductivity mod condT1 og condT3 (tempratur i sensor),Skiftet Conductivity modul. Fejler
24-02-25,91948801,,Verify Cond.,,SampleCond,Skiftet conductivity modul.,Fejler
24-02-25,91948801,,Verify Cond.,SampleCond,,Skiftet clean og zero.,L?sning
24-02-25,91948802,,Verify 5mëlk,Protein,Trans,Skiftet clean og zero.Testet igen 5mëlk B2025-08.,
